"This report provides the electricity highlights for the quarter regarding generation, demand and cost.",,,,,,,,,,,,,,,
Report creation date and time in EST.,,,,,,,,,,,,,,,
The report will be published four times a year with publishing on the first day of the next month after the end of the quarter.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Ontario Electricity Energy Report,Help,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Created at Nov 05, 2019 06:01:33",,,,,,,,,,,,,,
,"For Jul 01, 2019 to Sep 30, 2019",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Electricity Highlights,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation Output by Fuel Type (Grid-Connected) (GWh),,,,,,,,,,,,,,,
Year,Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total,,,,,,,
2019,October,7905.17,303.54,2698.93,818.39,47.55,18,11791.57,,,,,,,
2019,November,7149.68,870.57,3001.92,1148.5,27.05,36.06,12233.78,,,,,,,
2019,December,8031.27,820.1,3041.99,1306.29,19.45,33.98,13253.07,,,,,,,
Total GWh,,23086.11,1994.21,8742.84,3273.18,94.05,88.04,37278.42,,,,,,,
Total TWh,,23.1,2,8.7,3.3,0.1,0.1,37.3,,,,,,,
Notes :,,,,,,,,,,,,,,,
1. Data includes output of all transmission-connected generation facilities and embedded generators that are Market Participants. Data does not include output of embedded generators that are not registered as Market Participants.,,,,,,,,,,,,,,,
2. Oil facilities are included under the Gas category.,,,,,,,,,,,,,,,
3. Coal generation ceased production in Q1 2014.,,,,,,,,,,,,,,,
4. Transmission-connected solar began to be recorded in Q1 2015.,,,,,,,,,,,,,,,
5. Values may not add up to the total due to rounding.,,,,,,,,,,,,,,,
6. Related reports can be found at http://reports.ieso.ca/public/GenOutputbyFuelMonthly ,,,,,,,,,,,,,,,
Generation Output by Fuel Type (Grid-Connected) (%),,,,,,,,,,,,,,,
Year,Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,,,,,,,,
2019,October,67%,2.6%,22.9%,6.9%,0.4%,0.2%,,,,,,,,
2019,November,58.4%,7.1%,24.5%,9.4%,0.2%,0.3%,,,,,,,,
2019,December,60.6%,6.2%,23%,9.9%,0.1%,0.3%,,,,,,,,
Average,,61.9%,5.3%,23.5%,8.8%,0.2%,0.3%,,,,,,,,
Notes :,,,,,,,,,,,,,,,
1. Data includes output of all transmission-connected generation facilities and embedded generators that are Market Participants. Data does not include output of embedded generators that are not registered as Market Participants.,,,,,,,,,,,,,,,
2. Oil facilities are included under the Gas category.,,,,,,,,,,,,,,,
3. Coal generation ceased production in Q1 2014.,,,,,,,,,,,,,,,
4. Transmission-connected solar began to be recorded in Q1 2015.,,,,,,,,,,,,,,,
5. Percentages are based on GWh values.,,,,,,,,,,,,,,,
6. Related reports can be found at http://reports.ieso.ca/public/GenOutputbyFuelMonthly,,,,,,,,,,,,,,,
Ontario Peak Demand (MW),,,,,,,,,,,,,,,
Period,MW,EST,Date,,,,,,,,,,,,
Ontario Peak Demand (Quarter),20974,18:00:00,2019-12-19,,,,,,,,,,,,
Ontario Peak Demand (YTD),21791,17:00:00,2019-07-29,,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/Demand,,,,,,,,,,,,,,,
Ontario Commodity Cost - Class A (½/kWh),,,,,,,,,,,,,,,
Costs,Quarter,YTD,,,,,,,,,,,,,
Hourly Ontario Energy Price (Arithmetic Average),1.55,1.67,,,,,,,,,,,,,
"Global Adjustment - Average, Class A",5.57,5.89,,,,,,,,,,,,,
Total,7.12,7.56,,,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/PriceHOEPAverage,,,,,,,,,,,,,,,
Ontario Commodity Cost - Class B (½/kWh),,,,,,,,,,,,,,,
Costs,Quarter,YTD,,,,,,,,,,,,,
Hourly Ontario Energy Price (Weighted Average),1.7,1.83,,,,,,,,,,,,,
"Global Adjustment - Average, Class B",10.84,10.76,,,,,,,,,,,,,
Total,12.54,12.59,,,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/PriceHOEPAverage,,,,,,,,,,,,,,,
and http://reports.ieso.ca/public/GlobalAdjustment,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Grid-Connected* Generation Capacity ,,,,,,,,,,,,,,,
Year,Nuclear,Hydroelectric,Coal,Gas 1 ,Wind,Biofuel,Solar,Total,,,,,,,
2019Q4(MW),13009,9065.3,0,10276.6,4485.9,294.6,424,37555.4,,,,,,,
2019Q4(%),34.6394925896143%,24.1384727629049%,0%,27.3638411520048%,11.9447536173227%,0.784441118986883%,1.12899875916646%,100%,,,,,,,
Note: Numbers may not add up to totals due to rounding.,,,,,,,,0,,,,,,,
* Installed grid-connected generation capacity is the sum of all market participant generators who supply or bid into the IESO-administered market.  Numbers may not add up to totals due to rounding.,,,,,,,,0,,,,,,,
"1 Units that use natural gas, oil or are dual fuel, such as Lennox, NP Kirkland and NP Cochrane, are included in the Gas category.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Contracted Embedded Generation Capacity in Commercial Operation (Q4-2019),,,,,,,,,,,,,,,
Year,Hydroelectric,Gas,Wind,Biofuel,Solar,Other,Total1,,,,,,,,
2019 YTD (MW),280.24,276.2,591,109.98,2163.39,24.2,3445.01,,,,,,,,
2019 YTD Proportion of Embedded Capacity (%),8.13466434059698%,8.01739327316902%,17.1552477351299%,3.1924435632988%,62.797785782915%,0.702465304890262%,100%,,,,,,,,
2018 (MW),278.25,271.49,590.53,110.33,2117.07,24.2,3391.87,,,,,,,,
2017 (MW),277.27,271.49,590.53,108.72,2028.52,24.2,3300.73,,,,,,,,
2016 (MW),267.5,258.719,533.8,108.47,1925.8,24.2,3118.489,,,,,,,,
