"This report provides the electricity highlights for the quarter regarding generation, demand and cost.",,,,,,,,,,,,,,,
Report creation date and time in EST.,,,,,,,,,,,,,,,
The report will be published four times a year with publishing on the first day of the next month after the end of the quarter.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Ontario Electricity Energy Report,Help,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Created at Nov 05, 2019 06:01:33",,,,,,,,,,,,,,
,"For Jul 01, 2019 to Sep 30, 2019",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Electricity Highlights,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generation Output by Fuel Type (Grid-Connected) (GWh),,,,,,,,,,,,,,,
Year,Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total,,,,,,,
2019,July,8485.54,1546.23,2978.11,511.46,91.25,38.88,13651.46,,,,,,,
2019,August,8527.92,940.9,2509.47,507.27,90.26,38.45,12614.26,,,,,,,
2019,September,7726.23,494.25,2379.13,695,71.2,30.3,11396.1,,,,,,,
Total GWh,,24739.68,2981.38,7866.71,1713.72,252.7,107.62,37661.82,,,,,,,
Total TWh,,24.7,3,7.9,1.7,0.3,0.1,37.7,,,,,,,
Notes :,,,,,,,,,,,,,,,
1. Data includes output of all transmission-connected generation facilities and embedded generators that are Market Participants. Data does not include output of embedded generators that are not registered as Market Participants.,,,,,,,,,,,,,,,
2. Oil facilities are included under the Gas category.,,,,,,,,,,,,,,,
3. Coal generation ceased production in Q1 2014.,,,,,,,,,,,,,,,
4. Transmission-connected solar began to be recorded in Q1 2015.,,,,,,,,,,,,,,,
5. Values may not add up to the total due to rounding.,,,,,,,,,,,,,,,
6. Related reports can be found at http://reports.ieso.ca/public/GenOutputbyFuelMonthly ,,,,,,,,,,,,,,,
Generation Output by Fuel Type (Grid-Connected) (%),,,,,,,,,,,,,,,
Year,Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,,,,,,,,
2019,July,62.2%,11.3%,21.8%,3.7%,0.7%,0.3%,,,,,,,,
2019,August,67.6%,7.5%,19.9%,4%,0.7%,0.3%,,,,,,,,
2019,September,67.8%,4.3%,20.9%,6.1%,0.6%,0.3%,,,,,,,,
Average,,65.9%,7.7%,20.9%,4.6%,0.7%,0.3%,,,,,,,,
Notes :,,,,,,,,,,,,,,,
1. Data includes output of all transmission-connected generation facilities and embedded generators that are Market Participants. Data does not include output of embedded generators that are not registered as Market Participants.,,,,,,,,,,,,,,,
2. Oil facilities are included under the Gas category.,,,,,,,,,,,,,,,
3. Coal generation ceased production in Q1 2014.,,,,,,,,,,,,,,,
4. Transmission-connected solar began to be recorded in Q1 2015.,,,,,,,,,,,,,,,
5. Percentages are based on GWh values.,,,,,,,,,,,,,,,
6. Related reports can be found at http://reports.ieso.ca/public/GenOutputbyFuelMonthly,,,,,,,,,,,,,,,
Ontario Peak Demand (MW),,,,,,,,,,,,,,,
Period,MW,EST,Date,,,,,,,,,,,,
Ontario Peak Demand (Quarter),21791,17:00:00,2019-07-29,,,,,,,,,,,,
Ontario Peak Demand (YTD),21791,17:00:00,2019-07-29,,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/Demand,,,,,,,,,,,,,,,
Ontario Commodity Cost - Class A (½/kWh),,,,,,,,,,,,,,,
Costs,Quarter,YTD,,,,,,,,,,,,,
Hourly Ontario Energy Price (Arithmetic Average),1.63,1.71,,,,,,,,,,,,,
"Global Adjustment - Average, Class A",6.14,5.99,,,,,,,,,,,,,
Total,7.77,7.7,,,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/PriceHOEPAverage,,,,,,,,,,,,,,,
Ontario Commodity Cost - Class B (½/kWh),,,,,,,,,,,,,,,
Costs,Quarter,YTD,,,,,,,,,,,,,
Hourly Ontario Energy Price (Weighted Average),1.77,1.87,,,,,,,,,,,,,
"Global Adjustment - Average, Class B",11.39,10.73,,,,,,,,,,,,,
Total,13.16,12.6,,,,,,,,,,,,,
Note : Related reports can be found at http://reports.ieso.ca/public/PriceHOEPAverage,,,,,,,,,,,,,,,
and http://reports.ieso.ca/public/GlobalAdjustment,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Electricity Supply,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Historical Monthly Generation Output by Fuel Type (Grid-Connected) (MWh),,,,,,,,,,,,,,,
Year,Month,NUCLEAR,GAS,HYDRO,WIND,SOLAR,BIOFUEL,Total,,,,,,,
2018,July,8025802,1451947,2806921,511603,78399,46912,12921584,,,,,,,
2018,August,7999540,1586828,2599593,560185,67388,36497,12850031,,,,,,,
2018,September,7412095,1015000,2646641,630616,53562,34746,11792660,,,,,,,
2018,October,7846763,321472,3017927,929761,33579,31011,12180513,,,,,,,
2018,November,7521596,631237,3183446,1140513,17228,25016,12519036,,,,,,,
2018,December,7811509,725262,3329058,1071009,14006,32042,12982886,,,,,,,
2019,January,8057994,941073,3422346,1435375,24861,30928,13912577,,,,,,,
2019,February,6320056,1261447,3182154,1205471,30392,22721,12022241,,,,,,,
2019,March,6547146,1262378,3183009,1269843,59236,33840,12355452,,,,,,,
2019,April,6580452,432651,3138319,1065941,64425,29496,11311284,,,,,,,
2019,May,6981779,370929,3653815,633643,72410,31320,11743896,,,,,,,
2019,June,8136401,269155,3214068,379748,78294,25613,12103279,,,,,,,
2019,July,8485535,1546232,2978112,511460,91248,38876,13651463,,,,,,,
2019,August,8527916,940898,2509471,507267,90259,38447,12614258,,,,,,,
2019,September,7726232,494246,2379130,694997,71195,30298,11396098,,,,,,,
Notes :,,,,,,,,,,,,,,,
1. Data includes output of all transmission-connected generation facilities and embedded generators that are Market Participants. Data does not include output of embedded generators that are not registered as Market Participants.,,,,,,,,,,,,,,,
2. Oil facilities are included under the Gas category.,,,,,,,,,,,,,,,
